#Temporary Levels
100,0.4,1.5,3,0.8
110,0.4,1.5,3,0.9
90,0.4,1.5,3,0.8
120,0.4,1.5,3,0.9
100,0.4,1.5,3,0.9
150,0.4,1.5,3,0.9
#Small, few, expands a lot
20,0.15,3,4,0.6
40,0.15,3,4,0.7
50,0.15,3,4,0.75
60,0.15,3,4,0.8
80,0.15,3,4,0.85
100,0.15,3,4,0.90
#CCG
5,0.15,3,4,0.2
10,0.15,3,4,0.2
15,0.15,3,4,0.2
20,0.15,3,4,0.25
25,0.15,3,4,0.28
30,0.15,3,4,0.3
35,0.15,3,4,0.43
40,0.15,3,4,0.525
45,0.15,3,4,0.6
50,0.15,3,4,0.66
55,0.15,3,4,0.8
60,0.15,3,4,0.92
65,0.15,3,4,0.985
#Sniping
1,0.1,4,20,1
1,0.1,2,20,1
1,0.1,1,20,1
1,0.05,4,20,1
1,0.05,2,20,1
1,0.05,5,50,1
1,0.025,10,20,1
1,0.025,5,20,1
1,0.025,2,20,1
#Temporary Levels
100,0.4,1.5,3,0.8
110,0.4,1.5,3,0.9
90,0.4,1.5,3,0.8
120,0.4,1.5,3,0.9
100,0.4,1.5,3,0.9
150,0.4,1.5,3,0.9
100,0.4,1.5,3,0.8
110,0.4,1.5,3,0.9
90,0.4,1.5,3,0.8
120,0.4,1.5,3,0.9
100,0.4,1.5,3,0.9
150,0.4,1.5,3,0.9
