107,0.18,3.96,0.85,0.85,0.88
81,0.1,2.88,2.9,0.85,0.92
7,0.21,4.08,3.06,0.85,0.56
2,0.33,2.77,0.68,0.85,0.12
4,0.13,2.72,3.74,0.85,0.04
249,0.15,1.17,1.66,0.85,0.8
2,0.1,2.52,4.74,0.85,0.04
232,0.03,3.61,3.66,0.85,0.92
17,0.19,2.8,4.66,0.85,0.68
7,0.23,1.08,6.11,0.85,0.04
3,0.36,1.9,7.91,0.85,0.64
29,0.16,2.51,5.67,0.85,0.52
24,0.33,1.34,5.87,0.85,0.96
1,0.35,4.41,6.38,0.85,0.84
92,0.04,3.6,5.82,0.85,0.08
128,0.05,3.86,5.71,0.85,0.4
209,0.07,1.67,6.86,0.85,0.88
8,0.12,3.32,5.71,0.85,0.08
37,0.16,1.78,7.88,0.85,0.2
2,0.15,4.85,6.31,0.85,0.04
1,0.16,2.62,6.67,0.85,0.28
31,0.12,2.5,5.78,0.85,0.2
17,0.21,2.48,5.2,0.85,0.4
67,0.09,2.07,5.06,0.85,0.04
5,0.25,3.16,7.22,0.85,0.52
5,0.32,2.28,5.45,0.85,0.32
190,0.03,3.48,6.21,0.85,0.12
10,0.17,3.3,7.2,0.85,0.4
3,0.32,4.37,6.15,0.85,0.76
264,0.03,4.23,6.25,0.85,0.08
3,0.28,3.0,5.29,0.85,0.12
10,0.23,4.4,7.8,0.85,0.68
1,0.16,2.66,6.9,0.85,0.16
1,0.36,2.49,5.58,0.85,0.64
9,0.12,4.83,6.06,0.85,0.24
249,0.06,1.22,6.62,0.85,0.72
3,0.27,2.06,5.77,0.85,0.16
15,0.3,1.98,5.97,0.85,0.68
1,0.33,1.92,7.85,0.85,0.48
39,0.16,3.54,6.8,0.85,0.68
2,0.17,4.67,6.01,0.85,0.6
2,0.28,3.92,7.35,0.85,0.68
61,0.09,3.79,7.7,0.85,0.64
167,0.03,4.01,7.73,0.85,0.4
150,0.04,3.71,7.49,0.85,0.4
207,0.03,4.12,7.12,0.85,0.08
1,0.19,2.41,5.84,0.85,0.16
104,0.06,2.56,6.08,0.85,0.32
174,0.04,1.81,7.83,0.85,0.12
31,0.14,2.2,6.79,0.85,0.16
4,0.35,3.74,7.66,0.85,0.96
1,0.03,4.15,5.88,0.85,0.08
149,0.03,3.91,7.64,0.85,0.04
1,0.12,4.96,7.04,0.85,0.16
2,0.09,2.35,5.65,0.85,0.08
2,0.23,2.34,6.03,0.85,0.44
1,0.16,2.39,7.87,0.85,0.16
60,0.07,3.95,7.25,0.85,0.44
10,0.17,3.63,6.59,0.85,0.56
8,0.27,2.11,5.06,0.85,0.28
1,0.32,1.83,5.74,0.85,0.16
189,0.04,2.85,6.21,0.85,0.04
6,0.26,3.09,7.34,0.85,0.84
9,0.12,4.25,6.23,0.85,0.2
62,0.04,4.99,7.66,0.85,0.08
28,0.24,1.49,6.85,0.85,0.52
92,0.06,4.01,6.55,0.85,0.8
9,0.38,2.25,6.81,0.85,0.96
10,0.23,2.28,5.67,0.85,0.04
116,0.07,4.38,6.82,0.85,0.72
8,0.25,2.29,5.01,0.85,0.04
195,0.07,2.83,6.51,0.85,0.76
1,0.04,4.01,6.24,0.85,0.04
75,0.07,3.61,5.12,0.85,0.72
6,0.27,4.75,5.24,0.85,0.68
18,0.24,1.23,5.3,0.85,0.08
110,0.11,4.73,6.29,0.85,0.64
5,0.16,3.52,6.08,0.85,0.08
83,0.1,1.55,5.46,0.85,0.16
3,0.18,4.73,7.06,0.85,0.2
1,0.18,3.09,5.19,0.85,0.24
1,0.08,4.14,7.49,0.85,0.2
100,0.09,1.49,7.11,0.85,0.04
272,0.03,2.28,7.46,0.85,0.04
67,0.07,3.11,5.07,0.85,0.2
1,0.03,4.82,5.96,0.85,0.04
36,0.11,1.96,5.44,0.85,0.08
16,0.22,2.26,6.9,0.85,0.16
1,0.22,3.51,7.86,0.85,0.36
1,0.22,4.03,6.67,0.85,0.44
150,0.12,3.35,5.99,0.85,0.76
3,0.32,1.25,7.71,0.85,0.08
51,0.15,1.88,5.72,0.85,0.2
11,0.36,1.55,7.21,0.85,0.56
1,0.11,3.95,6.35,0.85,0.16
1,0.15,2.54,7.37,0.85,0.12
1,0.35,2.41,5.21,0.85,0.52
10,0.32,1.02,7.28,0.85,0.12
34,0.1,2.86,6.84,0.85,0.04
205,0.06,2.62,5.25,0.85,0.96
117,0.04,3.21,7.71,0.85,0.04
1,0.24,4.18,6.52,0.85,0.4
240,0.06,2.23,6.67,0.85,0.28
10,0.24,1.98,6.42,0.85,0.04
3,0.11,4.54,7.88,0.85,0.04
224,0.03,2.22,7.79,0.85,0.08
2,0.28,1.64,5.01,0.85,0.44
22,0.11,3.72,5.58,0.85,0.2
194,0.03,2.25,7.31,0.85,0.04
1,0.05,2.73,7.65,0.85,0.04
269,0.04,2.96,7.66,0.85,0.12
1,0.23,1.3,7.44,0.85,0.12
15,0.21,3.98,5.74,0.85,0.6
194,0.04,3.22,6.78,0.85,0.12
